"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"v8ScRl7rWQQ",2012-12-05,"UCHVd0LM1g9S0cttDHkidEHA","20 us presidents in 35 seconds","20 US Presidents in 35 Seconds SUBSCRIBE: http://bit.ly/SubHof |||| LIVE SHOWS: http://bit.ly/SeeHof WATCH NEXT: http://bit.ly/WatchHof No need for a history ...","https://i.ytimg.com/vi/v8ScRl7rWQQ/default.jpg","120","90","https://i.ytimg.com/vi/v8ScRl7rWQQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/v8ScRl7rWQQ/hqdefault.jpg","480","360","Steve Hofstetter","none",5534,125,9,0,23,12,2012
"P9oLZsk-DzE",2019-03-16,"UCBXNpF6k2n8dsI6nBH8q4sQ","10 funny diy pranks brilliant tricks and pranks for friends","Are you always on the lookout for funny pranks to use on friends? Or perhaps you're sick of being the victim of someone who is? You've come to the right place, ...","https://i.ytimg.com/vi/P9oLZsk-DzE/default.jpg","120","90","https://i.ytimg.com/vi/P9oLZsk-DzE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/P9oLZsk-DzE/hqdefault.jpg","480","360","123 GO!","none",26490560,143219,21956,0,5026,3,2019
"WfkhvRFTTq0",2008-12-09,"UCQKfuQtFjlL8jazT11JKFKA","vergewaltigt afghane von 20us soldaten vergewaltigt","finger im po.","https://i.ytimg.com/vi/WfkhvRFTTq0/default.jpg","120","90","https://i.ytimg.com/vi/WfkhvRFTTq0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WfkhvRFTTq0/hqdefault.jpg","480","360","uricka123","none",13130,23,12,0,1,12,2008
"IQxptvEL70k",2012-12-07,"UCHVd0LM1g9S0cttDHkidEHA","steve hofstetter 39 s political comedy 2004","Steve Hofstetter's Political Comedy (2004) SUBSCRIBE: http://bit.ly/SubHof |||| LIVE SHOWS: http://bit.ly/SeeHof WATCH NEXT: http://bit.ly/WatchHof A routine I ...","https://i.ytimg.com/vi/IQxptvEL70k/default.jpg","120","90","https://i.ytimg.com/vi/IQxptvEL70k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IQxptvEL70k/hqdefault.jpg","480","360","Steve Hofstetter","none",7455,110,1,0,22,12,2012
"PDylgzybWAw",2014-08-11,"UC3XTzVzaHQEd30rQbuvCtTQ","predatory lending last week tonight with john oliver hbo","Payday loans put a staggering amount of Americans in debt. They prey on the elderly and military service members. They're awful, and nearly impossible to ...","https://i.ytimg.com/vi/PDylgzybWAw/default.jpg","120","90","https://i.ytimg.com/vi/PDylgzybWAw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PDylgzybWAw/hqdefault.jpg","480","360","LastWeekTonight","none",12615762,77909,2435,0,5191,8,2014
"PP00uy82Rhc",2018-08-08,"UC2iUwfYi_1FCGGqhOUNx-iA","20 american dad moments that are not for kids","American Dad isn't known for being the most kid-friendly show, but these moments really cross the line! Subscribe to our channel: http://goo.gl/ho3Hg6 When ...","https://i.ytimg.com/vi/PP00uy82Rhc/default.jpg","120","90","https://i.ytimg.com/vi/PP00uy82Rhc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PP00uy82Rhc/hqdefault.jpg","480","360","Screen Rant","none",183172,2165,673,0,486,8,2018
"7FO8TDoBAJw",2019-04-21,"UCrzMCdy83LeWpdNS6cJkPFg","us kids parody music video 20us","brand new music video created by Visionary Studios UK for new single 'Kids' taken from the brand new '20US' EP commercially released 19th April 2019, find ...","https://i.ytimg.com/vi/7FO8TDoBAJw/default.jpg","120","90","https://i.ytimg.com/vi/7FO8TDoBAJw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/7FO8TDoBAJw/hqdefault.jpg","480","360","US music","none",62,1,0,0,NA,4,2019
"n_LXM7pmU24",2018-01-03,"UCUcugWyYvCaF2lrdkXQchfw","children 39 s film festival seattle 2018 trailer january 25 february 10","www.childrensfilmfestivalseattle.org Over the past 13 years, Children's Film Festival Seattle has become the largest and most respected film festival on the West ...","https://i.ytimg.com/vi/n_LXM7pmU24/default.jpg","120","90","https://i.ytimg.com/vi/n_LXM7pmU24/mqdefault.jpg","320","180","https://i.ytimg.com/vi/n_LXM7pmU24/hqdefault.jpg","480","360","Northwest Film Forum","none",988,5,2,0,1,1,2018
"KHR6LUuUs_k",2008-12-10,"UCQqp9eaO6Wn7eySYaZSPFFw","jonathan richman speaks not","Now available on DVD! This is the infamous 'wordless interview' from 1985, in which Modern Lovers founder Jonathan Richman grants a rare on-camera ...","https://i.ytimg.com/vi/KHR6LUuUs_k/default.jpg","120","90","https://i.ytimg.com/vi/KHR6LUuUs_k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KHR6LUuUs_k/hqdefault.jpg","480","360","1nceBitten2wiceShy","none",14086,94,0,0,7,12,2008
"eogu5eldquc",2018-09-25,"UCXLw_h6bFfPOKbDJXDUjA-Q","baby spiderman triplets cartoon <U+0001F495>superhero play doh stop motion vengatoon","Baby Hulk loves milk Superhero Play Doh Stop motion cartoons https://www.youtube.com/watch?v=pZL-wHsoVUI Sand Snowman Paw Patrol Superhero ...","https://i.ytimg.com/vi/eogu5eldquc/default.jpg","120","90","https://i.ytimg.com/vi/eogu5eldquc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/eogu5eldquc/hqdefault.jpg","480","360","Funny Stop Motion videos","none",18978851,39517,19128,0,209,9,2018
"Jb72QpbrXMk",2013-04-23,"UCFGb2SX2W_N3otEY2zidFWw","futurama cancelled","Don't let the bad guys win. Subscribe: http://bit.ly/subRoss I have twitter and tumblr and facebook too!: http://twitter.com/therosseverett ...","https://i.ytimg.com/vi/Jb72QpbrXMk/default.jpg","120","90","https://i.ytimg.com/vi/Jb72QpbrXMk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Jb72QpbrXMk/hqdefault.jpg","480","360","Ross Everett","none",6538,196,3,0,53,4,2013
"PCegweeyb_I",2018-10-29,"UCICVvpvI6pk51Yp-02FV7Qw","jealous best friend bromance problems 2 differentsame crazy funny","Everyone knows that feeling!!! If your best friend gets visited by another good friend. After a long time they haven't met in person, they are trying to spend all the ...","https://i.ytimg.com/vi/PCegweeyb_I/default.jpg","120","90","https://i.ytimg.com/vi/PCegweeyb_I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PCegweeyb_I/hqdefault.jpg","480","360","DifferentSame","none",49044,828,18,0,83,10,2018
"oTymagBVNLU",2019-03-31,"UC3rLoj87ctEHCcS7BuvIzkQ","top 10 times justin timberlake amp jessica biel made us believe in love","Talk about a power couple! For this list, we're taking a look at moments between celebrity husband and wife Justin Timberlake and Jessica Biel that made our ...","https://i.ytimg.com/vi/oTymagBVNLU/default.jpg","120","90","https://i.ytimg.com/vi/oTymagBVNLU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oTymagBVNLU/hqdefault.jpg","480","360","MsMojo","none",51818,669,35,0,89,3,2019
"acSJhfmDE4I",2009-10-09,"UCbObxjfi3W9YKnDS0PgadNA","dud leaves home","SUMMARY Dud wants to buy his girlfriend Maime an ice cream cone so he breaks open his mother's bank, and splits their last dime in half in the process.","https://i.ytimg.com/vi/acSJhfmDE4I/default.jpg","120","90","https://i.ytimg.com/vi/acSJhfmDE4I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/acSJhfmDE4I/hqdefault.jpg","480","360","Library of Congress","none",21294,63,1,0,NA,10,2009
"rJwSZIRQ54w",2018-09-28,"UCuT0B27AxYqCPWMJixOOnMQ","tom segura 2019 new tour annoucement take it down","Comedian Tom Segura's new 2019 Take It Down tour is on sale now. TomSegura.com/tour has the first 40 dates of his tour listed. Fans can purchase tickets now ...","https://i.ytimg.com/vi/rJwSZIRQ54w/default.jpg","120","90","https://i.ytimg.com/vi/rJwSZIRQ54w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rJwSZIRQ54w/hqdefault.jpg","480","360","Tom Segura","none",21278,326,11,0,54,9,2018
"W6uRNCJmdtI",2013-06-17,"UChPBZTyia3nHGk78ljsq3vA","jim parsons sheldon big bang theory late night show david letterman 2013","Jim Parsons Sheldon big bang theory Late night Show David Letterman 2013 Jim Parsons Sheldon big bang theory Late night Show David Letterman 2013 Jim ...","https://i.ytimg.com/vi/W6uRNCJmdtI/default.jpg","120","90","https://i.ytimg.com/vi/W6uRNCJmdtI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/W6uRNCJmdtI/hqdefault.jpg","480","360","SuperAmericanShow","none",320344,1163,14,0,99,6,2013
"-MfZAkb9M8Y",2018-09-08,"UCIPVJoHb_A5S3kcv3TJlyEg","pka 403 josh wolf epic prank story preacher grabs ariana grande celebrity privates","Sponsors: https://music.youtube.com/ https://tombraider.square-enix-games.com/en-us https://stitchfix.com/pka https://nba.2k.com/2k19/ ...","https://i.ytimg.com/vi/-MfZAkb9M8Y/default.jpg","120","90","https://i.ytimg.com/vi/-MfZAkb9M8Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-MfZAkb9M8Y/hqdefault.jpg","480","360","WoodysGamertag","none",99943,1483,75,0,267,9,2018
"PMtFaJp5-38",2019-03-23,"UCB1u_wJThc3_e5J4VVj7hQQ","learn the alphabet with memri tv","This took ages to make lmao. Don't forget to subscribe. peace. Facebook<U+25BB> https://www.facebook.com/papichulomin ...","https://i.ytimg.com/vi/PMtFaJp5-38/default.jpg","120","90","https://i.ytimg.com/vi/PMtFaJp5-38/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PMtFaJp5-38/hqdefault.jpg","480","360","Papi Chulomin","none",51448,1919,33,0,166,3,2019
"IPeb6jJShLE",2018-09-01,"UCKaQnJbTbRCATB0AKp1b50g","papa sava ep9 inyanda by niyitegegeka gratien rwandan comedy","Uyu mugabo ra! Bati isazi y'ubute ntiguguna igisebe,ukazana ibyo gusoba hano!Mujye mureka ubunyanda!","https://i.ytimg.com/vi/IPeb6jJShLE/default.jpg","120","90","https://i.ytimg.com/vi/IPeb6jJShLE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IPeb6jJShLE/hqdefault.jpg","480","360","Niyitegeka Gratien","none",208938,682,77,0,39,9,2018
"zzprK3dQ6xU",2017-08-20,"UCSrZ3UV4jOidv8ppoVuvW9Q","us comic and civil rights activist dick gregory dies at 84","The US comedian Dick Gregory has died in Washington D.C after being hospitalised for a week. He was 84. Gregory, who lived in Washington, suffered heart ...","https://i.ytimg.com/vi/zzprK3dQ6xU/default.jpg","120","90","https://i.ytimg.com/vi/zzprK3dQ6xU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zzprK3dQ6xU/hqdefault.jpg","480","360","euronews (in English)","none",8686,62,1,0,8,8,2017
"a5Q45eLJyBE",2017-08-20,"UCACdxU3VrJIJc7ujxtHWs1w","us komiker jerry lewis ist tot","US-Komiker Jerry Lewis hat die Welt zum Lachen gebracht. Im Alter von 91 Jahren ist er zu Hause in Las Vegas im Kreise seiner Angehörigen friedlich ...","https://i.ytimg.com/vi/a5Q45eLJyBE/default.jpg","120","90","https://i.ytimg.com/vi/a5Q45eLJyBE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/a5Q45eLJyBE/hqdefault.jpg","480","360","euronews (deutsch)","none",1984,6,0,0,2,8,2017
"qfcREQ95-k0",2011-08-26,"UCBAXYG5u4BBw1AQxnlO1hQQ","behind the scenes with our saxophone quartet","West Point Saxophone Quartet rehearses Handel's ""Entrance of the Queen of Sheba"" for an upcoming concert. Read more about the ensemble: ...","https://i.ytimg.com/vi/qfcREQ95-k0/default.jpg","120","90","https://i.ytimg.com/vi/qfcREQ95-k0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qfcREQ95-k0/hqdefault.jpg","480","360","West Point Band","none",1942,9,0,0,0,8,2011
"nT5hmvv1Wzw",2017-07-10,"UC3SvxbZILmFBJ5AKwJ70_ug","inside out claire desmond","Introducing USA Ultimate's ""Inside Out,"" a new video series dedicated to telling the stories of the 20 U.S. National Team athletes on the 2017 World Games Team ...","https://i.ytimg.com/vi/nT5hmvv1Wzw/default.jpg","120","90","https://i.ytimg.com/vi/nT5hmvv1Wzw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/nT5hmvv1Wzw/hqdefault.jpg","480","360","USA Ultimate","none",3661,55,0,0,0,7,2017
"Knl8GVCIXG4",2019-02-12,"UC3rLoj87ctEHCcS7BuvIzkQ","top 10 times ashton kutcher amp mila kunis made us believe in love","Top 10 Times Ashton Kutcher & Mila Kunis Made Us Believe in Love // Subscribe: http://www.youtube.com/c/MsMojo?sub_confirmation=1 From on the screen to ...","https://i.ytimg.com/vi/Knl8GVCIXG4/default.jpg","120","90","https://i.ytimg.com/vi/Knl8GVCIXG4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Knl8GVCIXG4/hqdefault.jpg","480","360","MsMojo","none",536372,7277,141,0,196,2,2019
"3q-KXNSUq3g",2014-08-18,"UCkoXSwooJ8WYKk5nyXZY4Vg","massage mustard ep 10 improv web series chicago comedy film festival","Chicago Comedy Film Festival brings you smart comedy for smart people. From Jack Farrell- http://massagemustard.com More episodes here- ...","https://i.ytimg.com/vi/3q-KXNSUq3g/default.jpg","120","90","https://i.ytimg.com/vi/3q-KXNSUq3g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3q-KXNSUq3g/hqdefault.jpg","480","360","Film Fest Chicago","none",59,3,0,0,0,8,2014
"XTUSGZQjeQo",2015-01-20,"UCzznO4xSV8BKnUBPyswtCUw","s korean civic group launches more anti north korea leaflets <U+D0C8><U+BD81><U+B2E8><U+CCB4> <U+C5B4><U+C82F><U+BC24> <U+BE44><U+ACF5><U+AC1C><U+B85C> <U+B300>","A South Korean activist group flew 100-thousand anti-North Korea leaflets across the inter-Korean border last night... in a move that will likely stir up tension on ...","https://i.ytimg.com/vi/XTUSGZQjeQo/default.jpg","120","90","https://i.ytimg.com/vi/XTUSGZQjeQo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XTUSGZQjeQo/hqdefault.jpg","480","360","ARIRANG NEWS","none",41,0,0,0,0,1,2015
"CDMWIPcAP9I",2017-07-24,"UCpsR8NvP8FvPYxLmHj1sPXw","81 morning tea r kelly usher and actual news","R. Kelly, Usher and news that matters. Become a Patreon Patron! https://www.patreon.com/justcallmewah Subscribe to my channel: http://bit.ly/1mmyk81 ...","https://i.ytimg.com/vi/CDMWIPcAP9I/default.jpg","120","90","https://i.ytimg.com/vi/CDMWIPcAP9I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CDMWIPcAP9I/hqdefault.jpg","480","360","Just Call Me Wah","none",1938,138,10,0,45,7,2017
"zRsErn-ZQFk",2016-05-21,"UCfkpM3RuyUHqY4nRlP-egNA","39 mr ed 39 star alan young dies at 96","A spokeswoman for the Motion Picture and Television Home said Friday, actor-comedian Alan Young, who played the amiable straight man to a talking horse in ...","https://i.ytimg.com/vi/zRsErn-ZQFk/default.jpg","120","90","https://i.ytimg.com/vi/zRsErn-ZQFk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zRsErn-ZQFk/hqdefault.jpg","480","360","Wochit Entertainment","none",25625,105,10,0,55,5,2016
"gt2nxBbZ1zE",2017-04-20,"UCJmSX7ghommK3pwMLGNUvPA","alex jones says his on air persona not a 39 trick 39","Alex Jones, the right-wing radio host and conspiracy theorist, has testified that he's sincere in his ""Infowars"" commentary. Jones did acknowledge he also uses ...","https://i.ytimg.com/vi/gt2nxBbZ1zE/default.jpg","120","90","https://i.ytimg.com/vi/gt2nxBbZ1zE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gt2nxBbZ1zE/hqdefault.jpg","480","360","Wochit News","none",114,0,4,0,0,4,2017
"aVOyeYT3umM",2017-06-20,"UCJmSX7ghommK3pwMLGNUvPA","bill cosby 39 s accuser thanks her supporters for their love and kindness","On Tuesday, the woman Bill Cosby was accused of sexually assaulting thanked her supporters for their ""outpouring of love and kindness"" since the conclusion ...","https://i.ytimg.com/vi/aVOyeYT3umM/default.jpg","120","90","https://i.ytimg.com/vi/aVOyeYT3umM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/aVOyeYT3umM/hqdefault.jpg","480","360","Wochit News","none",72,2,1,0,0,6,2017
"39xaPDTeWSc",2016-06-20,"UCJmSX7ghommK3pwMLGNUvPA","1776 british spy sketches up for auction in nyc","Benedict Arnold is a British officer who turned into a spy during the Revolutionary War. This Tuesday, two portraits that he drew are being sold at Swann Auction ...","https://i.ytimg.com/vi/39xaPDTeWSc/default.jpg","120","90","https://i.ytimg.com/vi/39xaPDTeWSc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/39xaPDTeWSc/hqdefault.jpg","480","360","Wochit News","none",56,0,0,0,0,6,2016
"D7cVC6O7Z9o",2015-10-20,"UCJmSX7ghommK3pwMLGNUvPA","tracy morgan plans standup tour","After renewing his comedy career with appearances on ""Saturday Night Live"" and at the Emmy Awards, Tracy Morgan will launch a stand-up tour at venues ...","https://i.ytimg.com/vi/D7cVC6O7Z9o/default.jpg","120","90","https://i.ytimg.com/vi/D7cVC6O7Z9o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/D7cVC6O7Z9o/hqdefault.jpg","480","360","Wochit News","none",230,1,0,0,0,10,2015
"u1E0xjB5V8o",2016-12-20,"UCfkpM3RuyUHqY4nRlP-egNA","original 39 mary poppins 39 star to appear in sequel","This week it was announced that actor Dick Van Dyke will appear in Disney's upcoming sequel to ""Mary Poppins."" In the 1964 original, Van Dyke played ...","https://i.ytimg.com/vi/u1E0xjB5V8o/default.jpg","120","90","https://i.ytimg.com/vi/u1E0xjB5V8o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/u1E0xjB5V8o/hqdefault.jpg","480","360","Wochit Entertainment","none",120,2,0,0,0,12,2016
"Kw8jKvJEVTk",2019-09-30,"UCi8e0iOVk1fEOogdfu4YgfA","new movies coming out in october 2019 movieclips trailers","Here are the top trailers for movies coming out in October 2019! What will you go see? Watch All the Best New Trailers from September 2019: ...","https://i.ytimg.com/vi/Kw8jKvJEVTk/default.jpg","120","90","https://i.ytimg.com/vi/Kw8jKvJEVTk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Kw8jKvJEVTk/hqdefault.jpg","480","360","Movieclips Trailers","none",741965,2307,250,0,161,9,2019
"ZvmuSbdnP3M",2015-10-20,"UCfkpM3RuyUHqY4nRlP-egNA","tracey morgan plans stand up tour after accident","After renewing his comedy career with appearances on ""Saturday Night Live"" and at the Emmy Awards, Tracy Morgan will embark on a nationwide stand-up this ...","https://i.ytimg.com/vi/ZvmuSbdnP3M/default.jpg","120","90","https://i.ytimg.com/vi/ZvmuSbdnP3M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ZvmuSbdnP3M/hqdefault.jpg","480","360","Wochit Entertainment","none",212,1,0,0,0,10,2015
"sk2AtLSa3n8",2016-05-26,"UCKwucPzHZ7zCUIf7If-Wo1g","5 minutes 15 headlines<U+0964> may 26","Watch 15 News headlines in 5 Minutes @9.00a.m<U+0964> May 26 ------------------------------------------------------------------------------------------------------------- 'DD News' is...","https://i.ytimg.com/vi/sk2AtLSa3n8/default.jpg","120","90","https://i.ytimg.com/vi/sk2AtLSa3n8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sk2AtLSa3n8/hqdefault.jpg","480","360","DD News","none",244,1,0,0,0,5,2016
"jcZ9553YT8A",2016-04-20,"UCfkpM3RuyUHqY4nRlP-egNA","jennifer aniston is people 39 s most beautiful woman","People Magazine has named Jennifer Aniston its ""World's Most Beautiful Woman"" of 2016. The 47-year-old actress graces the cover of People's 27th annual ...","https://i.ytimg.com/vi/jcZ9553YT8A/default.jpg","120","90","https://i.ytimg.com/vi/jcZ9553YT8A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jcZ9553YT8A/hqdefault.jpg","480","360","Wochit Entertainment","none",883,5,0,0,2,4,2016
"M-NbUBADd-s",2009-02-15,"UCJgt8quJ59853y_gWgeyLUA","the roaring 20 39 s us history skit","Mr. Chancer's assignment about the 1920's.","https://i.ytimg.com/vi/M-NbUBADd-s/default.jpg","120","90","https://i.ytimg.com/vi/M-NbUBADd-s/mqdefault.jpg","320","180","https://i.ytimg.com/vi/M-NbUBADd-s/hqdefault.jpg","480","360","abbiedogchancer","none",240,2,0,0,1,2,2009
"I8yhpSChATY",2016-04-20,"UCfkpM3RuyUHqY4nRlP-egNA","tracy morgan latest to cancel mississippi show","TUNICA, Miss. (AP) — Comedian and actor Tracy Morgan has scrapped a scheduled April 29 performance in Mississippi, citing its contested ...","https://i.ytimg.com/vi/I8yhpSChATY/default.jpg","120","90","https://i.ytimg.com/vi/I8yhpSChATY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/I8yhpSChATY/hqdefault.jpg","480","360","Wochit Entertainment","none",20,1,0,0,0,4,2016
"qYjOdxBduHk",2016-02-16,"UCDFSuEOkXeIRU-nTBYcUF7g","2016 cosmic nomad tour announcement","After spending a week locked in a box to promote the DVD release of The Martian, I've escaped and can proudly announce I'll be touring my new comedy show ...","https://i.ytimg.com/vi/qYjOdxBduHk/default.jpg","120","90","https://i.ytimg.com/vi/qYjOdxBduHk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qYjOdxBduHk/hqdefault.jpg","480","360","Josh Richards","none",166,1,0,0,0,2,2016
"qihjkcZNZbs",2016-06-20,"UCfkpM3RuyUHqY4nRlP-egNA","quot finding dory quot breaks record fro opening of animated film","LOS ANGELES (AP) — ""Finding Dory"" is officially the record holder for top animated opening of all time in North American theaters, unseating ""Shrek The Third.","https://i.ytimg.com/vi/qihjkcZNZbs/default.jpg","120","90","https://i.ytimg.com/vi/qihjkcZNZbs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qihjkcZNZbs/hqdefault.jpg","480","360","Wochit Entertainment","none",155,1,0,0,0,6,2016
"Eju5Rdz4GuE",2016-02-20,"UCfkpM3RuyUHqY4nRlP-egNA","lock of john lennon 39 s hair sells for high price","A lock of John Lennon's hair that was snipped as he prepared for a film role has sold for $35000. Dallas-based Heritage Auctions said Saturday that the 4-inch ...","https://i.ytimg.com/vi/Eju5Rdz4GuE/default.jpg","120","90","https://i.ytimg.com/vi/Eju5Rdz4GuE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Eju5Rdz4GuE/hqdefault.jpg","480","360","Wochit Entertainment","none",192,2,0,0,0,2,2016
"EYHwkk18dRU",2015-07-20,"UCJmSX7ghommK3pwMLGNUvPA","lawyers may try to use bill cosby 39 s own words against him","Bill Cosby's lurid, decade-old testimony about his philandering could do more than damage what's left of his fatherly image — it could very well be used against ...","https://i.ytimg.com/vi/EYHwkk18dRU/default.jpg","120","90","https://i.ytimg.com/vi/EYHwkk18dRU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EYHwkk18dRU/hqdefault.jpg","480","360","Wochit News","none",29,0,0,0,0,7,2015
"072d8PykmC0",2015-07-20,"UCfkpM3RuyUHqY4nRlP-egNA","cosby detailed his womanizing secrecy efforts a decade ago","Under oath in a hotel — away from the TV cameras and the soapbox where he did his public moralizing — Bill Cosby sketched a very different image of ...","https://i.ytimg.com/vi/072d8PykmC0/default.jpg","120","90","https://i.ytimg.com/vi/072d8PykmC0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/072d8PykmC0/hqdefault.jpg","480","360","Wochit Entertainment","none",19,0,0,0,0,7,2015
"ULqhWdxyIIQ",2017-04-20,"UCfkpM3RuyUHqY4nRlP-egNA","kevin hart to team up with rapper charlamagne the god","NEW YORK (AP) — Kevin Hart and Charlamagne The God should have a lot to talk about. The comedian and the radio host will make a joint appearance June 4 ...","https://i.ytimg.com/vi/ULqhWdxyIIQ/default.jpg","120","90","https://i.ytimg.com/vi/ULqhWdxyIIQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ULqhWdxyIIQ/hqdefault.jpg","480","360","Wochit Entertainment","none",159,1,5,0,5,4,2017
"OHOkdEBpwDc",2017-11-21,"UClFSU9_bUb4Rc6OYfTt5SPw","the internet is under attack net neutrality is dying and what you can do","Shoutout to dbrand! Get The Grip for 50% Off!: http://www.DeFrancoGrip.com Taking Our A's and Putting Them In Your Q's…: https://youtu.be/CZgHbTfALLo ...","https://i.ytimg.com/vi/OHOkdEBpwDc/default.jpg","120","90","https://i.ytimg.com/vi/OHOkdEBpwDc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OHOkdEBpwDc/hqdefault.jpg","480","360","Philip DeFranco","none",2131069,96969,3034,0,14927,11,2017
"VvlS4css9Vw",2019-02-21,"UCwt6YbD6Uf_HWOwMHNjO7kQ","geoguessr every us city perfect score 25000 points 6 16","Today I'm taking on one of my favorite maps, Every US City! It includes every American city with over 100000 people. It's a lot of fun and personally one of my ...","https://i.ytimg.com/vi/VvlS4css9Vw/default.jpg","120","90","https://i.ytimg.com/vi/VvlS4css9Vw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VvlS4css9Vw/hqdefault.jpg","480","360","Chicago Geographer","none",227,13,0,0,6,2,2019
"hl7H81pOiO8",2019-01-29,"UCjajCvptM7vM70SvF-gh34w","how to tell a real vs fake tom ford eyeglass frame eyewear republic","Subscribe to our channel to stay up-to-date on tips, fashion, and comedy. Follow: https://www.instagram.com/theeyewearrepublic/ Shop: ...","https://i.ytimg.com/vi/hl7H81pOiO8/default.jpg","120","90","https://i.ytimg.com/vi/hl7H81pOiO8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/hl7H81pOiO8/hqdefault.jpg","480","360","Eyewear Republic","none",5276,47,7,0,34,1,2019
"w8tYAIlQka0",2018-01-02,"UCIvaYmXn910QMdemBG3v1pQ","news 100 39 cricket series only when pakistan stops terrorism 39 says sushma swaraj","This is a segment of Zee News which brings to you latest updates. 'Cricket series only when Pakistan stops terrorism', says External Affairs Minister Sushma ...","https://i.ytimg.com/vi/w8tYAIlQka0/default.jpg","120","90","https://i.ytimg.com/vi/w8tYAIlQka0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/w8tYAIlQka0/hqdefault.jpg","480","360","Zee News","none",576,10,0,0,0,1,2018
"7pVQuhMTjtE",2015-07-20,"UCfkpM3RuyUHqY4nRlP-egNA","jon stewart heads into home stretch at 39 daily show 39","Jon Stewart enters the home stretch of his 16 years on Comedy Central's ""The Daily Show"" on Monday, with 12 more nights of jokes at the expense of those who ...","https://i.ytimg.com/vi/7pVQuhMTjtE/default.jpg","120","90","https://i.ytimg.com/vi/7pVQuhMTjtE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/7pVQuhMTjtE/hqdefault.jpg","480","360","Wochit Entertainment","none",359,0,0,0,1,7,2015
"lzeufKnGklA",2015-07-20,"UCfkpM3RuyUHqY4nRlP-egNA","keillor says he 39 s retiring from 39 prairie home 39","Garrison Keillor, creator and longtime host of the popular ""A Prairie Home Companion"" radio show, says he means it this time: He's retiring. In an interview ...","https://i.ytimg.com/vi/lzeufKnGklA/default.jpg","120","90","https://i.ytimg.com/vi/lzeufKnGklA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lzeufKnGklA/hqdefault.jpg","480","360","Wochit Entertainment","none",304,0,0,0,1,7,2015
